Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Subcellular location [CC]	Gene ontology (cellular component)	Gene ontology (biological process)
Q9NZL9	MAT2B_HUMAN	reviewed	Methionine adenosyltransferase 2 subunit beta (Methionine adenosyltransferase II beta) (MAT II beta) (Putative dTDP-4-keto-6-deoxy-D-glucose 4-reductase)	MAT2B TGR MSTP045 Nbla02999 UNQ2435/PRO4995	Homo sapiens (Human)	334		cytosol [GO:0005829]; extracellular exosome [GO:0070062]; intracellular [GO:0005622]; methionine adenosyltransferase complex [GO:0048269]; mitochondrion [GO:0005739]; nucleus [GO:0005634]	methylation [GO:0032259]; one-carbon metabolic process [GO:0006730]; S-adenosylmethionine biosynthetic process [GO:0006556]
P25398	RS12_HUMAN	reviewed	40S ribosomal protein S12	RPS12	Homo sapiens (Human)	132	SUBCELLULAR LOCATION: Cytoplasm.	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; membrane [GO:0016020]; nucleoplasm [GO:0005654]	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]
Q6ZR44	Q6ZR44_HUMAN	unreviewed	cDNA FLJ46672 fis, clone TRACH3009008, highly similar to Thioredoxin reductase (EC 1.6.4.5)		Homo sapiens (Human)	581		cell [GO:0005623]	cell redox homeostasis [GO:0045454]
Q7Z5L9	I2BP2_HUMAN	reviewed	Interferon regulatory factor 2-binding protein 2 (IRF-2-binding protein 2) (IRF-2BP2)	IRF2BP2	Homo sapiens (Human)	587	SUBCELLULAR LOCATION: Cytoplasm. Nucleus.	cytoplasm [GO:0005737]; nucleus [GO:0005634]	regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]
Q9UBE0	SAE1_HUMAN	reviewed	SUMO-activating enzyme subunit 1 (Ubiquitin-like 1-activating enzyme E1A) [Cleaved into: SUMO-activating enzyme subunit 1, N-terminally processed]	SAE1 AOS1 SUA1 UBLE1A	Homo sapiens (Human)	346	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11481243}.	cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; SUMO activating enzyme complex [GO:0031510]	positive regulation of protein targeting to mitochondrion [GO:1903955]; protein sumoylation [GO:0016925]; protein ubiquitination [GO:0016567]; regulation of mitotic cell cycle [GO:0007346]
Q9UI26	IPO11_HUMAN	reviewed	Importin-11 (Imp11) (Ran-binding protein 11) (RanBP11)	IPO11 RANBP11	Homo sapiens (Human)	975	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11032817}. Nucleus {ECO:0000269|PubMed:11032817}.	cytosol [GO:0005829]; nuclear envelope [GO:0005635]	ribosomal protein import into nucleus [GO:0006610]; transcription factor import into nucleus [GO:0042991]
Q53RR5	Q53RR5_HUMAN	unreviewed	Putative uncharacterized protein YWHAQ (Fragment)	YWHAQ	Homo sapiens (Human)	98			
P12956	XRCC6_HUMAN	reviewed	X-ray repair cross-complementing protein 6 (EC 3.6.4.-) (EC 4.2.99.-) (5'-deoxyribose-5-phosphate lyase Ku70) (5'-dRP lyase Ku70) (70 kDa subunit of Ku antigen) (ATP-dependent DNA helicase 2 subunit 1) (ATP-dependent DNA helicase II 70 kDa subunit) (CTC box-binding factor 75 kDa subunit) (CTC75) (CTCBF) (DNA repair protein XRCC6) (Lupus Ku autoantigen protein p70) (Ku70) (Thyroid-lupus autoantigen) (TLAA) (X-ray repair complementing defective repair in Chinese hamster cells 6)	XRCC6 G22P1	Homo sapiens (Human)	609	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:22442688}. Chromosome {ECO:0000269|PubMed:22442688}.	cytosol [GO:0005829]; Ku70:Ku80 complex [GO:0043564]; membrane [GO:0016020]; nonhomologous end joining complex [GO:0070419]; nuclear chromosome, telomeric region [GO:0000784]; nuclear telomere cap complex [GO:0000783]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcription factor complex [GO:0005667]	cellular response to gamma radiation [GO:0071480]; cellular response to X-ray [GO:0071481]; DNA ligation [GO:0006266]; DNA recombination [GO:0006310]; double-strand break repair via classical nonhomologous end joining [GO:0097680]; double-strand break repair via nonhomologous end joining [GO:0006303]; establishment of integrated proviral latency [GO:0075713]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; positive regulation of type I interferon production [GO:0032481]; protein heterotetramerization [GO:0051290]; regulation of smooth muscle cell proliferation [GO:0048660]; telomere maintenance [GO:0000723]; transcription, DNA-templated [GO:0006351]
Q6NZ55	Q6NZ55_HUMAN	unreviewed	60S ribosomal protein L13	RPL13	Homo sapiens (Human)	211		ribosome [GO:0005840]	translation [GO:0006412]
Q6B823	Q6B823_HUMAN	unreviewed	Histone H4 (Fragment)		Homo sapiens (Human)	43	SUBCELLULAR LOCATION: Chromosome {ECO:0000256|SAAS:SAAS00581170}.; SUBCELLULAR LOCATION: Nucleus {ECO:0000256|SAAS:SAAS00581157}.	nucleosome [GO:0000786]; nucleus [GO:0005634]	
Q13630	FCL_HUMAN	reviewed	GDP-L-fucose synthase (EC 1.1.1.271) (GDP-4-keto-6-deoxy-D-mannose-3,5-epimerase-4-reductase) (Protein FX) (Red cell NADP(H)-binding protein) (Short-chain dehydrogenase/reductase family 4E member 1)	TSTA3 SDR4E1	Homo sapiens (Human)	321		cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]	'de novo' GDP-L-fucose biosynthetic process [GO:0042351]; cytolysis [GO:0019835]; GDP-mannose metabolic process [GO:0019673]; leukocyte cell-cell adhesion [GO:0007159]
Q9Y606	TRUA_HUMAN	reviewed	tRNA pseudouridine synthase A, mitochondrial (EC 5.4.99.12) (tRNA pseudouridine(38-40) synthase) (tRNA pseudouridylate synthase I) (tRNA-uridine isomerase I)	PUS1 PP8985	Homo sapiens (Human)	427	SUBCELLULAR LOCATION: Isoform 1: Mitochondrion {ECO:0000269|PubMed:17056637}.; SUBCELLULAR LOCATION: Isoform 2: Nucleus {ECO:0000269|PubMed:17056637}.	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleus [GO:0005634]	mitochondrial tRNA pseudouridine synthesis [GO:0070902]
Q6I9T8	Q6I9T8_HUMAN	unreviewed	Serine/threonine-protein phosphatase (EC 3.1.3.16)	PPP2CA	Homo sapiens (Human)	309			
P52209	6PGD_HUMAN	reviewed	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	PGD PGDH	Homo sapiens (Human)	483	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleus [GO:0005634]	D-gluconate metabolic process [GO:0019521]; oxidation-reduction process [GO:0055114]; pentose biosynthetic process [GO:0019322]; pentose-phosphate shunt [GO:0006098]; pentose-phosphate shunt, oxidative branch [GO:0009051]
Q53FI7	Q53FI7_HUMAN	unreviewed	Four and a half LIM domains 1 variant (Fragment)		Homo sapiens (Human)	280			
P52597	HNRPF_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein F (hnRNP F) (Nucleolin-like protein mcs94-1) [Cleaved into: Heterogeneous nuclear ribonucleoprotein F, N-terminally processed]	HNRNPF HNRPF	Homo sapiens (Human)	415	SUBCELLULAR LOCATION: Nucleus, nucleoplasm.	catalytic step 2 spliceosome [GO:0071013]; cytoplasm [GO:0005737]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	fibroblast growth factor receptor signaling pathway [GO:0008543]; gene expression [GO:0010467]; mRNA splicing, via spliceosome [GO:0000398]; regulation of RNA splicing [GO:0043484]; RNA processing [GO:0006396]
Q16719	KYNU_HUMAN	reviewed	Kynureninase (EC 3.7.1.3) (L-kynurenine hydrolase)	KYNU	Homo sapiens (Human)	465	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03017, ECO:0000269|PubMed:8706755}.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]	'de novo' NAD biosynthetic process from tryptophan [GO:0034354]; anthranilate metabolic process [GO:0043420]; L-kynurenine catabolic process [GO:0097053]; quinolinate biosynthetic process [GO:0019805]; response to interferon-gamma [GO:0034341]; response to vitamin B6 [GO:0034516]; tryptophan catabolic process [GO:0006569]; tryptophan catabolic process to acetyl-CoA [GO:0019442]; tryptophan catabolic process to kynurenine [GO:0019441]
Q8TDA8	Q8TDA8_HUMAN	unreviewed	Glutathione synthetase (Fragment)		Homo sapiens (Human)	11			
Q9BYF5	Q9BYF5_HUMAN	unreviewed	Ribosomal protein L22 (Fragment)	RPL22	Homo sapiens (Human)	20		ribosome [GO:0005840]	
Q5SV20	Q5SV20_HUMAN		Deleted.						
O95155	UBE4B_HUMAN	reviewed	Ubiquitin conjugation factor E4 B (EC 6.3.2.-) (Homozygously deleted in neuroblastoma 1) (Ubiquitin fusion degradation protein 2)	UBE4B HDNB1 KIAA0684 UFD2	Homo sapiens (Human)	1302	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q9ES00}. Nucleus {ECO:0000250|UniProtKB:Q9ES00}.	cytoplasm [GO:0005737]; nucleus [GO:0005634]; ubiquitin ligase complex [GO:0000151]	granzyme-mediated apoptotic signaling pathway [GO:0008626]; neuron projection development [GO:0031175]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein autoubiquitination [GO:0051865]; protein monoubiquitination [GO:0006513]; protein polyubiquitination [GO:0000209]; protein ubiquitination involved in ubiquitin-dependent protein catabolic process [GO:0042787]; response to endoplasmic reticulum stress [GO:0034976]; response to UV [GO:0009411]; ventricular trabecula myocardium morphogenesis [GO:0003222]
P48200	IREB2_HUMAN	reviewed	Iron-responsive element-binding protein 2 (IRE-BP 2) (Iron regulatory protein 2) (IRP2)	IREB2	Homo sapiens (Human)	963	SUBCELLULAR LOCATION: Cytoplasm.	cytoplasm [GO:0005737]	cellular iron ion homeostasis [GO:0006879]; iron ion transport [GO:0006826]; metabolic process [GO:0008152]
P30040	ERP29_HUMAN	reviewed	Endoplasmic reticulum resident protein 29 (ERp29) (Endoplasmic reticulum resident protein 28) (ERp28) (Endoplasmic reticulum resident protein 31) (ERp31)	ERP29 C12orf8 ERP28	Homo sapiens (Human)	261	SUBCELLULAR LOCATION: Endoplasmic reticulum lumen. Melanosome. Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV.	cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; melanosome [GO:0042470]; membrane [GO:0016020]; smooth endoplasmic reticulum [GO:0005790]; transport vesicle [GO:0030133]	activation of MAPK activity [GO:0000187]; intracellular protein transport [GO:0006886]; negative regulation of gene expression [GO:0010629]; negative regulation of protein secretion [GO:0050709]; positive regulation of gene expression [GO:0010628]; positive regulation of protein phosphorylation [GO:0001934]; protein folding [GO:0006457]; protein secretion [GO:0009306]; protein unfolding [GO:0043335]; regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway [GO:1902235]
Q01105	SET_HUMAN	reviewed	Protein SET (HLA-DR-associated protein II) (Inhibitor of granzyme A-activated DNase) (IGAAD) (PHAPII) (Phosphatase 2A inhibitor I2PP2A) (I-2PP2A) (Template-activating factor I) (TAF-I)	SET	Homo sapiens (Human)	290	SUBCELLULAR LOCATION: Cytoplasm, cytosol. Endoplasmic reticulum. Nucleus, nucleoplasm. Note=In the cytoplasm, found both in the cytosol and associated with the endoplasmic reticulum. The SET complex is associated with the endoplasmic reticulum. Following CTL attack and cleavage by GZMA, moves rapidly to the nucleus, where it is found in the nucleoplasm, avoiding the nucleolus. Similar translocation to the nucleus is also observed for lymphocyte-activated killer cells after the addition of calcium.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; protein complex [GO:0043234]	DNA replication [GO:0006260]; negative regulation of histone acetylation [GO:0035067]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of transcription, DNA-templated [GO:0045892]; nucleocytoplasmic transport [GO:0006913]; nucleosome assembly [GO:0006334]; nucleosome disassembly [GO:0006337]; regulation of mRNA stability [GO:0043488]; viral process [GO:0016032]
Q53F47	Q53F47_HUMAN	unreviewed	Down-regulator of transcription 1 variant (Fragment)		Homo sapiens (Human)	176	SUBCELLULAR LOCATION: Nucleus {ECO:0000256|SAAS:SAAS00572571}.	nucleus [GO:0005634]	
